block,embedding_mode,backend,backend_version,dimension,storage_type,dataset_id,corpus_size,scale_level,real_unique_segments,physical_rows,replication_factor,filter_selectivity_target,filter_selectivity_actual,strategy,pattern,returned_count,underfilled,filter_correctness,topk_agreement,ann_recall_vs_exact,quality_vs_groundtruth,p50_ms,p95_ms,p99_ms,cold_ms,ingest_s,index_build_s,vector_storage_mb,index_storage_mb,metadata_storage_mb,storage_amplification,index_params_json,settings_json,plan_used_vector_index,indexed_vectors_count,max_limit_setting,hardware_profile
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,10pct,0.10021436227224008,exact,A,10,False,True,1.0,1.0,,83.802,83.802,,83.802,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,1pct,0.010182207931404072,exact,A,10,False,True,1.0,1.0,,77.255,77.255,,77.255,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,0.1pct,0.0010718113612004287,exact,A,2,True,True,1.0,1.0,,42.128,42.128,,42.128,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,100pct,1.0,ann,A,10,False,True,0.8181818181818182,0.9,,162.351,162.351,,162.351,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,50pct,0.5,ann,A,8,True,True,0.8,0.8,,136.988,136.988,,136.988,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,10pct,0.10021436227224008,ann,A,0,True,True,0.0,0.0,,87.09,87.09,,87.09,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,1pct,0.010182207931404072,ann,A,0,True,True,0.0,0.0,,68.48,68.48,,68.48,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,0.1pct,0.0010718113612004287,ann,A,0,True,True,0.0,0.0,,34.425,34.425,,34.425,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,100pct,1.0,prefilter,A,10,False,True,1.0,1.0,,156.38,156.38,,156.38,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,50pct,0.5,prefilter,A,10,False,True,1.0,1.0,,122.297,122.297,,122.297,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,10pct,0.10021436227224008,prefilter,A,10,False,True,1.0,1.0,,74.262,74.262,,74.262,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,1pct,0.010182207931404072,prefilter,A,10,False,True,1.0,1.0,,70.673,70.673,,70.673,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,0.1pct,0.0010718113612004287,prefilter,A,2,True,True,1.0,1.0,,39.408,39.408,,39.408,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,100pct,1.0,postfilter,A,10,False,True,1.0,1.0,,153.217,153.217,,153.217,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,50pct,0.5,postfilter,A,10,False,True,1.0,1.0,,129.501,129.501,,129.501,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,10pct,0.10021436227224008,postfilter,A,10,False,True,1.0,1.0,,80.199,80.199,,80.199,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,1pct,0.010182207931404072,postfilter,A,10,False,True,1.0,1.0,,75.007,75.007,,75.007,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,512,Array(Float32),auair,1866,L2,1866,1866,1.0,0.1pct,0.0010718113612004287,postfilter,A,2,True,True,1.0,1.0,,47.392,47.392,,47.392,,,,,,,"{""dimension"":512}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,1024,Array(Float32),auair,1866,L2,1866,1866,1.0,100pct,1.0,prefilter,A,10,False,True,1.0,1.0,,166.533,166.533,,166.533,,,,,,,"{""dimension"":1024}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,1024,Array(Float32),auair,1866,L2,1866,1866,1.0,50pct,0.5,prefilter,A,10,False,True,1.0,1.0,,168.679,168.679,,168.679,,,,,,,"{""dimension"":1024}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,1024,Array(Float32),auair,1866,L2,1866,1866,1.0,10pct,0.10021436227224008,prefilter,A,10,False,True,1.0,1.0,,100.661,100.661,,100.661,,,,,,,"{""dimension"":1024}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,1024,Array(Float32),auair,1866,L2,1866,1866,1.0,1pct,0.010182207931404072,prefilter,A,10,False,True,1.0,1.0,,95.278,95.278,,95.278,,,,,,,"{""dimension"":1024}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,1024,Array(Float32),auair,1866,L2,1866,1866,1.0,0.1pct,0.0010718113612004287,prefilter,A,2,True,True,1.0,1.0,,51.738,51.738,,51.738,,,,,,,"{""dimension"":1024}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,256,Array(Float32),auair,1866,L2,1866,1866,1.0,100pct,1.0,prefilter,A,10,False,True,1.0,1.0,,146.752,146.752,,146.752,,,,,,,"{""dimension"":256}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,256,Array(Float32),auair,1866,L2,1866,1866,1.0,50pct,0.5,prefilter,A,10,False,True,1.0,1.0,,131.664,131.664,,131.664,,,,,,,"{""dimension"":256}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
